amount_reviews,critics_consensus,date,duration,genre,images,rating,title
99,★繼《列車上的女孩》、《控制》後又一懸疑驚悚力作！ ★《獵殺星期一》歐蜜瑞佩斯vs.《碳變》喬爾金納曼兩大超人氣影星同台飆戲！ ‬‬‬‬★台北電影獎「國際新導演」、以色列電影學院獎「最佳導演」尤瓦阿德勒！ ★最意想不到的劇情神翻轉，98分鐘全場坐立難安！  顫慄遊戲開始 說真相就活命！ 二戰過後，僥倖在納粹集中營生還的瑪雅(歐蜜瑞佩斯飾)與其丈夫路易斯(克里斯梅希納飾)定居美國展開全新的生活，某日她偶然遇見了一個神秘的男子湯瑪斯(喬爾金納曼飾)，勾起埋藏在內心深處的痛苦過往，她深信這個男子就是曾經在納粹集中營折磨她的德國士兵，於是瑪雅展開了一場復仇計劃…  【關於電影】  從《獵殺星期一》到《地下弒的秘密》 歐蜜瑞佩斯自任監製 在《普羅米修斯》系列之後，叫好又叫座的科幻懸疑動作電影《獵殺星期一》再次打響歐蜜瑞佩斯的名聲，而此次她自監自演的驚悚片《地下弒的秘密》曲折離奇的故事將讓觀眾再次感受她的演技魅力。歐蜜瑞佩斯受到劇本故事的吸引，讓她自薦擔任電影監製，說服檔期幾乎全滿的喬爾金納曼加入演出，並找來導演尤瓦阿德勒擔任編導，讓歐蜜堪稱是劇組最大「金手指」！  導演尤瓦阿德勒建議在角色設定上多加入歐蜜瑞佩斯的個人背景，因此他提出將主角設定為羅姆人，也就是俗稱的吉普賽人，因為歐蜜瑞佩斯有一半的羅姆人血統，歐蜜表示：「羅姆人在歐洲面對幾世紀的迫害，後來又成為納粹的目標，成為囚犯，被迫勞動和遭受大量屠殺，我們開始研究他們在戰時和戰後的情況。」巧合的是，歐蜜瑞佩斯因拍攝電影《獵殺星期一》，她待在羅馬尼亞長達6個月，而羅馬尼亞正是《地下弒的秘密》主角瑪雅的故鄉，歐蜜坦言：「那裡的鄉下從戰後至今其實改變不多，我能夠沉浸在那種文化下，感受當地人的心靈，他們很驕傲，感情很激烈，讓我得以把這些特質套用在角色身上。」,2020-10-16,片長：01時38分,懸疑/驚悚,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\地下弒的秘密.jpg,3.6,地下弒的秘密
90,故事描述一群探險家運用新發現的蟲洞，計劃一場遠超越過去人類太空旅行極限，展開一場遙遠距離的星際航行。該片請來蟲洞理論大師基普索恩作為顧問。主要演員包含馬修麥康納、安海瑟威、潔西卡雀絲坦及米高肯恩。,2020-10-08,片長：02時49分,科幻,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\星際效應.jpg,4.2,星際效應
67,「別嚇到了，我們是『辛比的怪怪屋：幽靈獵人』！  荷里、斗里在與家人寒假出遊的飛機途中，拯救了落難的天空精靈金比，卻意外招喚其他不知名的怪物襲擊，但最大的危機，是傳說中的飛天巨獸耶夢加得，如果耶夢加得甦醒了，人類世界後果將不堪設想。驅魔師，同時也是荷里好友的強林受召喚前來相救，斗里也緊急請來辛比幫忙，但耶夢加得為強取天空精靈，已開始發動攻擊，天境之城面臨危機，鬼神球、天空防護罩，這群小小英雄必須要前往更高的雲端之上，阻止這座城市、甚至是地球毀滅的發生……今年十月，最刺激的冒險旅程即將展開，拿出勇氣為你心愛的人決鬥吧！ ,2020-10-08,片長：01時37分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\辛比的怪怪屋劇場版：幽靈獵人天空大進擊.jpg,0.0,辛比的怪怪屋劇場版：幽靈獵人天空大進擊
98,★ 《即刻救援》地表最強硬漢連恩尼遜再次提槍上陣！ ★ 《會計師》製作團隊打造，今年最緊張、過癮的犯罪動作鉅作！ ★ 黑警槍戰、飛車追逐、炸彈爆破，刺激場面讓你腎上腺素飆到最高點！  湯姆（連恩尼遜 飾）是名海軍陸戰隊退役的拆彈專家、同時也是個連續盜取了12家銀行偷得900萬美元現鈔的神鬼大盜，卻在愛上了一位女子安妮（凱特沃許飾）後，決定洗心革面坦白自己的犯罪前科，來換取未來的自由。正當湯姆準備自首時，竟被兩位貪圖鉅款的FBI探員尼文斯（傑寇特尼 飾）、霍爾（安東尼拉莫斯 飾）誣陷殺警。一夜之間，湯姆被聯邦調查局布下天羅地網通緝，為了找回屬於自己的清白，湯姆決定奮力一搏誓死反擊，讓罪有應得的FBI探員付出慘痛的代價！,2020-10-08,片長：01時39分,劇情,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\倒數反擊.jpg,3.6,倒數反擊
95,★《鋼鐵雨：深潛行動》郭到元 ×《機智醫生生活》金大明 展開一場無厘頭機智搜索行動！ ★愉快的菲律賓之旅竟離奇變調，一名鄉下刑警竟捲入國際犯罪！  洪邊秀（郭到元 飾）是一名鄉下刑警，人生第一次海外旅行地為菲律賓。當邊秀在菲律賓沉浸於度假的美夢時，卻意外掉入犯罪組織殺手「派翠克」（金熙沅 飾）所設的局，成為殺人嫌犯。為了洗去罪嫌，他和當地的導遊，同時也是自己故鄉後輩的滿哲（金大明 飾），一起調查整起事件，但邊秀的體力與英文卻跟不上自己想查案的決心。  後來，邊秀在菲律賓甚至還遇見了宿敵勇裴（金相浩 飾），卻因此讓搜索方向脫離正常軌道。究竟這名鄉下刑警能安全回到韓國嗎？鄉下刑警的國際級搜查行動即將開始！ ,2020-10-08,片長：01時46分,劇情,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\刑警沒有假期.jpg,3.8,刑警沒有假期
87,原本以為只是搭火車旅行，沒想到…好吃驚！ 聖誕假期，米可萊穿著人偶裝在月台發放傳單，突然對一名美女觀光客一見鍾情，情不自禁跟著她上了火車之後，卻遇到一絲不苟的列車長諾瓦正在驗票，沒錢補票的米可萊於是上演你追我跑的戲碼，過程之中不慎打昏了列車長，當他穿上諾瓦的外套，卻被乘客誤以為是列車長，強拉去處理各式各樣的緊急事故：走失小孩的家長、坐錯位置的乘客、擋住走道的路霸、想坐霸王車的惡霸，還要安慰因為失戀而哭得死去活來的列車女服務生。搭火車旅行真的好吃驚，最後的高潮來到火車突然緊急剎車、意外停駛，冒牌列車長要如何安撫一整列車的乘客們呢？更重要的是米可萊會在火車上找到他的真愛嗎？  【關於電影】  波瀾最大鐵路公司PKP贊助拍攝，靈感來自火車旅途間的短暫過客  本片為新銳導演米格爾•維列斯首部劇情長片，全片百分之九十的場景都發生在火車上，獲波蘭最大鐵路公司PKP贊助拍攝。導演米格爾表示，本片靈感來自某次的工作案，連續好幾個月得高頻率搭火車從波茲南到華沙。火車旅途過程中有迷人的風景、搖晃和吵雜的干擾，以及沿途各個別具特色的停靠站和形形色色的乘客，在火車上比鄰而坐的乘客都是一個個未知的謎團，每個人都有故事和目的地，但一旦搭上列車，卻也只剩下一個座位號碼，然而，旅客們的一舉一動、穿著打扮、談吐都依然看在他人眼中。當大家同乘一輛火車，常常個人的一個微小舉動，就有可能對他人造成巨大的影響，引發連鎖反應，甚至可能讓本該只是陌生人的乘客成為朋友、戀人或敵人。「旅途中我當然不可能立刻和身旁的乘客熟稔起來，但我一直在默默觀察他們，想像他們的生活樣貌，進而得到靈感寫下這個故事。」  導演米格爾坦言自己希望藉由這樣的觀察和腦補，描繪出一個建立在火車上的微型世界，以及屬於這個世界的獨有規則，宛如一幅「列車浮世繪」。同時也對人的「身分」提出叩問，透過詼諧的對白、諷刺的事情發展，讓觀眾一窺「假裝成他人」、「濫用他人身分」會得到什麼苦果。導演米格爾表示自己一直將美國名導比利懷德視作楷模，「電影最讓我感到共鳴的地方是關於人的各個面向，例如：愛情、友情、使命、生死。我也喜歡去探索這些東西，選擇用反諷的方式呈現，避免讓自己和作品過於嚴肅。」他也形容比利懷德的老電影，事隔多年，如今看來一點也不覺得過時，依然充滿新鮮感，因為他始終將焦點擺在人性，而非時代，「時髦的點子和潮流總有過時的時候，但人性卻亙古不變。我期許自己朝這個方向前進，希望能拍出一部簡單、能帶給觀眾娛樂的電影，讓每個觀看的人都感到快樂、滿足，《愛情列車長》就是在這樣的想法下拍攝而成的。」 ,2020-10-08,片長：01時25分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\愛情列車長.jpg,3.5,愛情列車長
95,★2018轟動中、日、台的科普動畫，2020年度最具教育意義院線電影！ ★醫學界、教師界強力推薦，捲起校園課堂cosplay風潮！ ★分秒發生於你我體內的真實劇情，刻畫生動，引人入勝！ ★日本癌症專家「大須賀 覚」與「紐約知名醫師－Doctor Mike」大力推薦！  「為了苦讀生物的妹妹」而誕生的超人氣作品漫畫《工作細胞》，在眾所期盼下推出電視動畫，讓你我了解身體內部的故事，是任何人都能有所共鳴的體內細胞擬人化作品。  細胞們在名為「身體」的世界中，依舊活力滿點，全年無休的工作著。  有著搬運氧氣的紅血球，和細菌奮戰的白血球……細胞們在體內正上演著不為人知的精彩好戲。而原作漫畫經典長篇則獨立製作成特別上映版《強「菌」來襲！人體腸道大騷動！》，即將可在大銀幕上看到「賭上生命，守護生命」的細胞們為了身體奮戰！ ,2020-10-08,片長：01時52分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\工作細胞特別上映版-強「菌」來襲！人體腸道大騷動！.jpg,4.3,工作細胞特別上映版-強「菌」來襲！人體腸道大騷動！
80,★2020香港暑假檔票房冠軍，黑馬之姿衝破千萬票房 ★榮獲2020香港電影金像獎最佳導演、最佳女主角、最佳新人獎等6項提名 ★榮獲2019香港電影評論學會大獎 最佳男演員、最佳女演員及年度推薦電影 ★2020台北電影節參展電影、2019香港亞洲電影節參展電影  個性善良憨厚的小學老師阿樂（劉俊謙 飾），是一名精神分裂症復原者，渴望愛情但從來不敢與人有更進一步的關係，某日在街頭偶遇了清新脫俗的欣欣（蔡思韵 飾），對她一見鍾情卻掙扎是否該託出自身病史。但阿樂又再次復發後，此時發現她的真正身分，竟然是位工於心計的心理系研究生，在幻覺與真實世界，兩人陷入了一場如幻似真的懸疑禁戀中。,2020-10-15,片長：01時59分,劇情,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\幻愛.jpg,4.2,幻愛
78,★2020年台北電影節開幕片 開賣10分鐘秒殺完售 ★台灣真實事件改編 【天黑請閉眼】柯貞年導演 首部作品躍上大銀幕 ★年度重磅話題國片 後座力超強！天真「有」邪 VS驚悚人性 ★校車最後一排的祕密 什麼是可以玩 卻不能說的遊戲？ ★金馬獎最佳男配角劉冠廷X金馬獎影后楊貴媚X金馬獎最佳男配角太保 同台飆戲 ★新生代潛力演員 劉子銓X陳妍霏X金玄彬 震撼演出 ★奪金馬獎最佳原創歌曲 盧律銘再度打造動人配樂  學校裡很寧靜，但卻充斥著詭異氛圍。天真無邪的學生一起在玩一個遊戲，但這個遊戲卻是不能說的秘密，可是到底為什麼不能說…在這個遊戲中，什麼才是勝利？誰勝誰負？又或，大家口中不能說的遊戲只是一種無助的求救訊號？在孤寂的無聲世界中，聽不見，不代表看不見，其實，你並不孤單。  新銳導演柯貞年的首部長片以大膽敘事方式探討「愛與救贖」，現實雖然未能盡如人意，但世界上的每個人都是值得被愛的。「他們只是在玩」一句輕描淡寫的話，在無聲的世界中蔓延，究竟什麼是一起玩，卻不能說的遊戲？ ,2020-10-15,片長：01時44分,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\無聲.jpg,4.1,無聲
50,高雄電影節二十歲了！做為全台第三大，同時也是南台灣最大型的年度電影盛事，今年影展同樣規劃類型豐富，題材多元的精彩節目，加上全台規模最大的「國際短片競賽」及VR沈浸式體驗節目「XR無限幻境」，10月16日至11月1日，邀請全台灣的觀眾朋友齊聚高雄，參與這一年一度的電影嘉年華！  本屆高雄電影節開幕片為賴孟傑導演新作，由鄭人碩、邱偲琹主演的《親愛的殺手》，本片大膽探索底層人物的情慾世界，入選今年香港電影節新秀競賽單元，將於雄影進行世界首映。閉幕片《訪客》為高雄出身新銳導演蔡佳穎的首部長片，邀集張軒睿、戴立忍、高慧君等實力派演員演出的科幻驚悚故事，罕見的類型手法再創台片新風格。  2020高雄電影節年度主題「時光幻遊」則以時間旅行為發想，選映多部全新與經典作品，包含《未來總動員》、《阿比阿弟的冒險》、《我愛你‧我愛你》、《魔藥幻浪》與《上帝帶你嗨》等，邀請觀眾一同探索異境，幻遊時光。  今年國際短片競賽正逢舉辦十週年紀念，初選評審在報名「國際組」、「台灣組」和「VR組」的作品中，共選出87部電影進入決審名單，角逐總獎金超過130萬新台幣的15項大獎，所有入圍作品將在影展期間放映由專業評審進行評選後，在10月24日公布得獎名單。本屆頒獎典禮邀請金鐘獎得主姚淳耀、孫可芳擔任主持人，演員出身的兩人將以參演短片的豐富經驗，為愛河畔的頒獎典禮穿針引線，見證優質短片獲獎榮耀。  雄影「台灣越界」單元網羅年度台灣新片：蔡明亮導演獲林影展泰迪熊評審團獎並問鼎金馬獎的《日子》、陳大璞導演與「果陀娛樂」首度合作、黃河、潘親御、林意箴主演的《人生清理員》；多元的視角探討流浪動物議題的《十二夜2：回到第零天》；《迷失安狄》則細膩描繪性少數族群和非法移工的生活處境，李李仁首度扮演跨性別者，突破演技；在高雄拍攝的《迷走廣州》以兩位性格迥異的女孩為主角，交織華麗迷幻的少女公路之旅，以上影片都將有劇組出席首映活動，敬請影迷把握面對面的難得機會！  「特別放映」單元將讓影迷先睹為快兩部作品：郭珍弟導演最新劇情長片《戀愛好好說》將在高雄電影節放映「2020愛你愛你場」，姚愛寗、邱志宇、余佩真和詮釋為情所困的當代男女，既撩人又療癒；由《馗降：粽邪2》導演廖士涵執導的《大債時代》，將於明年正式上映，雄影觀眾有機會在影展期間搶先觀賞第一集，該片由林柏宏、張書豪、李霈瑜等人主演，打造雜揉社會寫實風格的都會類型劇，解剖青年負債議題。  「焦點導演」單元創全台影展之先，辦理法國新浪潮大師賈克希維特（Jacques RIVETTE）回顧展，精選六部生涯代表作《巴黎屬於我們》、《安娜凱莉娜之修女傳》、《莎蓮與茱莉浪遊記》、《日月女神》、《公主復仇記》與《美麗壞女人》，並邀請資深影評人黃建業進行專題講座，帶領新舊影迷走進大師的電影世界。  招牌單元「高雄拍」，今年將於雄影世界首映六部在高雄拍攝的精彩短片：曾拍攝《粗工阿全》關注社會底層的朱平導演，新片《降河洄游》邀集吳朋奉、太保、潘親御、廖欽亮、黃冠智等演員演出，描寫養殖漁業的利益衝突，特寫漁民的生活圖景；曹仕翰導演最新短片《貓與蒼蠅》邀請《大佛普拉斯》主角莊益增與潘之敏飾演顧船人和精障女子，呈現不為人知的社會角落。郭尚興執導的《輕鬆搖擺》找來高山峰和江常輝飾演一對同志配偶，透過發生在兩人兒子身上的遭遇，呈現同婚在台合法化後的社會氛圍；在《沒有網路的一天》中，王可元飾演的宅男某晚遭遇網路大斷線，頓失依靠的他決心走出家門，尋找同天宣布即將退出直播平台的網紅少女；《魚路》以奇幻視角講述一位遭逢妻子自殺的老漁夫，在孤身面對荒涼的世界時，所開啟的旅程；而改編自真實事件的《獸徑》，則描述森林警察和非法移工之間，複雜難解的生存處境。  除了上述單元外，高雄電影節更規劃集合世界各大影展得獎作品的「國際視窗」、喜愛重鹹口味觀眾必看的「瘋狂噬界」、適合大小朋友一起進戲院同歡的「孩子幻想國」、集合經典海洋主題電影的「海波浪大戲院」和關注社會議題的「人民力量」等主題單元，無論您是喜愛何種影片類型的觀眾，都可以在高雄電影節找到喜愛的主題！  高雄電影節更是亞洲最大XR沈浸式影展單元之一，2020「高雄VR FILM LAB」再度與台灣優秀創作者聯手，獻上周東彥導演的《霧中》、賴冠源導演的《喚說其語 Ep.1 潛入西拉雅》、陳識安導演的《人之島後》三部原創VR電影；「XR大觀」更精選7部跨越 AR、VR、MR、體感裝置、沈浸式劇場等互動媒材的作品，包含《末日之舞》、《攻殻機動隊 GHOST CHASER》、《微醺列車》、《色度：賈曼計畫》、《Sigur Rós：精靈之聲AR》、《佛羅倫斯》與《藝術文明之光：夏維岩洞》展現當代影像跨界多元手法，帶來難辨虛實的沈浸式體驗！  在長短片與XR作品放映之外，今年適逢高雄改制百年，影展也自即日起於駁二藝術特區舉辦「時光港都-高雄港映像記憶特展」，特展規劃三大主題展區，觀眾並可在戶外體驗最新AR互動科技打造的「興濱AR實境行旅」，本展覽免費入場，歡迎民眾一同共襄盛舉！  2020高雄電影節將於10月16日至11月1日，在高雄市電影館、MLD影城、高雄市立圖書館總館、VR體感劇院、駁二藝術特區P3倉庫群及5G體感電競基地舉行，完整節目內容、影人出席場次與活動訊息，請鎖定： 雄影官方網站 https://www.kff.tw 雄影Instagram https://www.instagram.com/khfilmfestival 雄影Facebook https://www.facebook.com/TaiwanKFF  【2020第20屆高雄電影節】 時間：10月16日～11月1日 地點：高雄市電影館、MLD影城、高雄市立圖書館總館 　　　VR體感劇院、駁二藝術特區P3倉庫群及5G體感電競基地 票券開賣：9月27日18:00起年代售票系統同步開賣 官方網站：http://kff.tw  【時光港都-高雄港映像記憶特展】 展出日期：10月9日～11月8日免費入場 展出時間：週二至週五11:00-18:00 　　　　　週六、週日及國定假日10:30-18:30（週一休館） 展出地點：駁二大勇區P3-1倉庫 ,2020-10-16,片長：未提供,,D:\Users\Administrator\gb5566\yahoo_ptt\media\movie\images\yahoo\2020高雄電影節.jpg,0.0,2020高雄電影節
