amount_reviews,critics_consensus,date,duration,genre,images,rating,title
81,公車司機阿泰（劉冠廷/飾），是一個動作慢吞吞、連手錶的時間、地震的感應都比別人慢的奇葩。他每天都會去郵局，找櫃員楊曉淇（李霈瑜/飾）寄一封不知道給誰的平信。櫃員楊曉淇和阿泰完全相反，是個凡事搶拍的超級急性子，唯獨感情生活毫無進展，年近三十還是母胎單身。情人節前夕，楊曉淇被天菜陽光男劉老師（周群達Duncan/飾）搭訕，終於情竇初開的曉淇和劉老師天雷勾動地火；想不到一覺醒來，劉老師再無音訊、而且情人節居然已經過了？！每天來寄信的阿泰也再也沒出現過...毫無記憶的楊曉淇，開始了一趟尋找真相的奇幻旅程...,20200918,片　　長：01時59分,劇情,消失的情人節,4.3,消失的情人節
88,★創下台灣10度上映電影神話，日本近年最強軍武動畫電影！ ★重返戰車道！限量日本正版授權官方特典等你來拿！  平和的大洗女子學園因小桃突如其來的留級消息而騷動。 為了能順利通過AO入學考試進入大學，小桃以隊長之姿帶領大洗戰車道團隊參與冬季大會「無限軌道盃」，在面臨首戰對手ＢＣ自由學園時，卻出乎意料的陷入苦戰！  難道美穗等人以及小桃的未來將到此為止了嗎？究竟勝利將會降臨在哪一方呢？ ,20200918,片　　長：00時57分,,少女與戰車最終章第2話,4.1,少女與戰車最終章第2話
86,皮諾丘能通過考驗，如願成為一個真正的男孩嗎？ 孤獨的老木匠傑佩托，因緣際會得到一塊櫻桃木，便將它雕刻成一個木偶，並取名「皮諾丘」來作伴。意外的是，木偶完成後不僅能開口說話，更會走能跑。傑佩托喜出望外，決定好好栽培，於是送他去上學讀書。  然而皮諾丘生來頑皮，不僅賣掉課本，還逃學跑去看木偶戲班表演，引發戲班團長的覬覦、施計將他擄走。傑佩托遍尋不著皮諾丘，傷心之下離家四處尋子。逃回家的皮諾丘，發現父親不在，內疚之下也展開他的尋父之旅。  因為不聽蟋蟀的忠告，皮諾丘又中狐狸和貓的詭計，落入壞人的手裡。更因為貪玩被騙到「玩具國」，被變成驢子賣給馬戲團，並在逃跑時遭到巨鯊吞下了肚…。本性善良的皮諾丘，常被邪惡誘惑而撒謊，讓自己身陷麻煩之中。一心想找到父親回家團聚的他，能通過勇氣、忠心和誠實的考驗，如願成為一個真正的男孩嗎？  【關於電影】  豪擲五億台幣華麗打造的奇幻新片《皮諾丘的奇幻旅程》（Pinocchio），是坎城名導馬提歐賈洛尼（Matteo Garrone）的最新鉅作。該片還原風靡全世界的童話「木偶奇遇記」，被譽為超越全球250種版本的終極呈現！《美麗人生》奧斯卡影帝的羅貝托貝尼尼（Roberto Benigni），片中飾演「皮諾丘」的創造者，《狗奴人生》坎城影帝馬切羅馮提（Marcello Fonte）亦參與演出。該片所有奇幻場景除砸重金拍攝外，更拜現代科技之賜，極盡奇幻華麗之能事，場面讓人嘆為觀止，一舉橫掃義大利金像獎最佳影片、導演、男女配角、改編劇本、攝影、製作、剪輯、藝術指導、最佳配樂、聲音設計、視覺效果，以及造型設計、化妝、髮型等15項大獎提名，並獲選柏林影展「特別盛會」觀摩影片。  這部真人版奇幻電影《皮諾丘的奇幻旅程》，根據義大利作家卡洛柯洛帝（Carlo Collodi）知名童書改編。看似說給孩子睡前聽的童話，寓意卻能讓大人獲得療癒，提醒著孩子要努力向學，才不至淪為被操弄的玩偶。片中荒謬的法庭、遭勞役的驢子，都深具警世作用，加上天馬行空的想像力、扣人心弦的敘事魔力，使之成為經典中的經典，曾被迪士尼改編動畫並獲奧斯卡獎，擁有的觀眾、讀者及銷售量，幾可媲美【聖經】及【魔戒】等。故事中一句「說謊鼻子會變長」，幾乎成為跨世代的共同記憶。 為超越皮諾丘原著的全球250種版本，馬提歐賈洛尼不惜砸重金造村拍攝，還原故事中社會底層的樣貌，讓皮諾丘這場充滿蛻變的冒險，有著陰鬱小鎮，詭譎角色、奇幻世界，更有人性的貪婪與慾望，謊言與死亡。展現不同於迪士尼的魔幻魅力，讓人耳目一新。這部曠世奇作《皮諾丘的奇幻旅程》，不僅獲選今年柏林影展「特別盛會」觀摩影片，橫掃義大利金像獎、銀絲帶獎等總計27項大獎提名，更在義大利飆出5.5億台幣的票房佳績。而其集結視覺、化妝、音效等奧斯卡團隊，更以神乎其技的魔幻特效，為義大利電影樹立了全新的里程碑。 ,20200918,片　　長：02時05分,劇情,皮諾丘的奇幻旅程,3.8,皮諾丘的奇幻旅程
89,不得志的中年抽象畫家許寶清，因緣際會在監獄教受刑人畫畫。許寶清驚訝發現其中一名青年犯人周政廷，有著極高的繪畫天份，常常畫出讓他感動的抽象畫作。許寶清也想讓世人感受這樣的美，他說服了獄方，讓他辦一個受刑人畫展。  沒想到開展時社會輿論嘩然，原來周政廷在幾年前，曾犯下頗受爭議的隨機殺人案，隨後畫展開展期間被人砸雞蛋、噴漆不說，最後連許寶清都被襲擊送醫，畫展只好匆忙撤展。  許寶清無法理解為何人們無法客觀看待藝術作品，同時他決定前往案發地點探訪周政廷的過去，並接近受害者與找尋周的老家。許寶清也想看看周政廷曾說過的繪畫靈感來源：那座小時候玩捉迷藏的祕密基地，在那裡有面牆，牆上有一幅讓他總是駐足許久的畫⋯⋯。 ,20200918,片　　長：01時23分,,惡之畫,3.7,惡之畫
67,世間所有相遇　都能香氣四溢 熟男司機吉翁（格雷戈里蒙泰爾 飾），只有一件事掛心不下，就是爭取十歲女兒的共同監護權。然而他的違規計點已到吊銷邊緣，難得的父女時光也常因自己的粗枝大葉搞砸。吉翁的老闆清楚他的「魯」，特意安插他接送最棘手的高端客戶安（艾曼紐德芙 飾）。擁有絕對嗅覺的安，曾是Dior天價聘請的調香大師。在她人生最輝煌的時刻，卻意外嗅覺缺失，從香水界黯然退場，勉強委身在五味雜陳的案子沉潛自己。  一位是退無可退的魯蛇司機，一位是渴望重返巔峰的調香達人，兩人天差地遠，在生命轉折處撞見彼此，即將在一趟趟採集氣味的旅程中，釋放出動人的曖昧氣息。 ,20200918,片　　長：01時41分,,寂寞調香師,0.0,寂寞調香師
80,★ 韓國爆笑犯罪新作 《雞不可失》後最狂辦案 ★ 車禍唯一目擊者 奶奶爆笑神出擊 記憶雖然不靠譜 卻是破案唯一線索！ ★ 我的嬤嬤咪呀！韓國大滿貫影后羅文姬 X 實力男星李熙俊 聯手飆戲 ★ 不要小看長輩 別和奶奶作對！真相 永遠只有一個！  一位患有阿茲海默症的奶奶（羅文姬 飾），竟是肇逃案件的唯一目擊證人！平時和兒子（李熙峻 飾）與孫女相依為命，奶奶最疼愛的孫女竟慘遭車禍陷入昏迷。警方辦案只能依靠失憶奶奶毫無邏輯的胡言亂語、天外飛來一筆的說詞來回拼湊，他們能否用無厘頭的線索順利揪出兇手呢？ ,20200918,片　　長：01時50分,喜劇,名偵探奶奶,3.6,名偵探奶奶
91,★ 《全面攻佔2：倫敦救援》《古墓奇兵》幕後團隊震撼打造 ★ 《鬼玩人影集》《勇者逆襲》導演火爆新作 ★ 《變形金剛》梅根福克斯剽悍上陣 ★ 當獵人成為獵物，手中的槍是活下去的唯一方法！  身經百戰的傭兵隊長歐哈拉（梅根福克斯 飾）受到委託，率領一支菁英小隊前往危機四伏的非洲執行一項救援任務，沒想到卻在撤離過程中發生意外。受困於非洲荒野之中的歐哈拉與隊員們，必須面對來自叛軍的血腥追擊，以及一群飢腸轆轆的嗜血狂獅……。 ,20200918,片　　長：01時46分,,重裝救援：全境獵殺,3.3,重裝救援：全境獵殺
93,★《奇奇怪怪》系列網漫最火紅篇章，首度改編動畫登上大銀幕！ ★ 網漫人氣超越《與神同行》，影史最詭異獨創恐怖怪談！ ★ 毛骨悚然都市奇談，驚悚詭異媲美伊藤潤二作品！ ★ 耗時六年製作，南韓影史首部懸疑恐怖動畫電影！ ★ 9.9超高評分霸榜WEBTOON恐怖漫畫冠軍，網友話題滿載！ ★ 淋漓盡致體現人性之惡，深刻反思「看臉時代」社會現況！ ★ 融合懸疑、奇幻、犯罪、倫理多重元素，增添原作更多劇情細節！ ★ 預告點擊率飆破200萬次，大幅超越《屍速列車：感染半島》！ ★ 原作粉絲認可的高完成度，全球國際影展爭相邀約！ ★ 強勢入選法國安錫動畫影展「競賽」單元！ ★ 獲選南韓富川奇幻影展「韓國奇幻競賽」單元！ ★ 入選蒙特婁國際奇幻影展「動畫競賽」單元！  溶脂化骨，重塑美貌，妳敢嘗試？ 想要擁有嶄新人生？為您介紹這罐「神奇整容液」的使用方法…。  首先，請用鏡子確認自己的臉。不如拍張照片做個紀念，因為這將會是您跟原本長相最後告別的時刻。接著，將水與整容液以4:1比例混合，並將臉部浸泡在整容液裡20分鐘。之後，您的皮膚與肌肉將像黏土一般得以重新塑型，成為您想要擁有的模樣…。  一位屢受歧視的棉花糖女孩，在使用整容液後，如願成為廣受歡迎的女神。不僅追求者絡繹不絕，更吸引經紀人想要簽她當藝人。她還迅速結識高富帥，不論事業跟愛情都走向人生巔峰。不過她萬萬沒想到，當整容液開始產生副作用後，讓她不得不做出一連串駭人行為，她的人生也逐漸失控…。  【關於電影】  網漫人氣超越《與神同行》，影史最詭異獨創恐怖怪談 在「外貌至上主義」的南韓社會當中，時常出現「花美男」、「花美女」、「高顔質」等「看臉時代」之下的流行語。許多南韓綜藝節目當中，藝人與素人談起自己的整容經歷，更像家常便飯一樣簡單。尤有甚者，許多南韓的小孩一出生，父母就會為他們準備一筆「整容費」，等兒女成年的時候，再把這筆錢送給兒女當作禮物，希望能讓他們透過整容，讓未來的事業與生活更加順遂。不過，這個在南韓社會稀鬆平常的整容文化，如果轉化為奇幻、恐怖電影的題材，又將會成為什麼模樣？  影史最詭異獨創的恐怖怪談《整容液》，就是改編自WEBTOON的人氣同名網路漫畫，並透過電影動畫版的形式，再度讓全球觀眾為之震撼。本作是漫畫家吳城垈的代表作品之一，脫胎自網漫《奇奇怪怪》中的一個單元故事，劇情描述女主角塗上能改頭換面的「整容液」、並成為女神後所經歷的恐怖怪談。毛骨悚然的劇情，也讓讀者讚譽媲美伊藤潤二的恐怖作品。相較其他驚悚恐怖漫畫，本作雖然沒有過多激烈的血腥場面，卻透過腦洞大開的情節，將「整容」這個敏感話題作出天馬行空的詮釋。不僅透過黑色幽默描繪人性黑暗面，將人性之惡表現得淋漓盡致，更因為獨特的情節設定，引導讀者反思社會現況。這也讓本作從連載初期，就獲得高度討論，人氣更超越同樣話題滿載的《與神同行》！  電影版《整容液》，不僅是《奇奇怪怪》系列首度改編動畫登上大銀幕的作品，更成為南韓影史首部懸疑恐怖動畫電影。製作團隊耗時六年打造，為作品融入懸疑、奇幻、犯罪、倫理等多重元素，更增添漫畫所沒有提到的更多劇情細節，並以最完美的容貌跟觀眾見面。電影消息一曝光，隨即引發世界各地討論，更吸引眾多國際影展邀約，強勢入選有「動畫界坎城影展」之稱的安錫動畫影展「競賽」單元、蒙特婁國際奇幻影展「動畫競賽」單元，以及南韓富川奇幻影展「韓國奇幻競賽」單元。值得一提的是，本片的前導預告一在南韓曝光，就在短時間內突破200萬點擊次數，大幅超越同期熱門電影《屍速列車：感染半島》的預告點擊次數，引爆網友熱烈迴響，再度證明本片的超高人氣，值得觀眾進場一探究竟！,20200918,片　　長：01時25分,奇幻,整容液,3.9,整容液
95,★ 2018亞洲電影大獎 最佳男配角 ★ 2018日本電影金像獎 最佳男主角 ★ 2017日本報知電影獎 最佳作品、最佳男主角 ★ 2017日本藍絲帶獎 最佳作品、最佳男配角 ★ 2017日本每日電影獎 最佳男主角 ★ 2017日刊體育電影大獎 最佳作品、最佳男主角 ★ 人氣新生代男演員──菅田將暉演技代表作 ★ 改編自寺山修司唯一一部長篇小說  結束專業拳擊出道賽後，新次與推子每天仍努力接受訓練。為了要與宿敵裕二對戰，新次燃起熊熊的鬥志，而且也意外得知自己父親的死與推子有關……另一方面，推子在圖書館中邂逅了京子（木村多江 飾），談了第一場戀愛，但他仍感到孤單。推子為了打破束縛自己的軀殼，決定割捨與兄弟般的新次相處的生活。僅靠戰鬥而維繫彼此的兩人，開始了殘忍又青春的每一天……,20200918,片　　長：02時27分,,啊，荒野 後篇,4.4,啊，荒野 後篇
94,★ 2018亞洲電影大獎 最佳男配角 ★ 2018日本電影金像獎 最佳男主角 ★ 2017日本報知電影獎 最佳作品、最佳男主角 ★ 2017日本藍絲帶獎 最佳作品、最佳男配角 ★ 2017日本每日電影獎 最佳男主角 ★ 2017日刊體育電影大獎 最佳作品、最佳男主角 ★ 人氣新生代男演員──菅田將暉演技代表作 ★ 改編自寺山修司唯一一部長篇小說  故事發生在2021年的新宿，過去曾被父母拋棄的新次（菅田將暉 飾），誓言向造成親如兄弟的劉輝（小林且彌 飾）半身不遂的山本裕二報仇（山田裕貴 飾）。某日，他在街頭認識了正在發面紙的「推子」（梁益準 飾），有口吃的推子只要面對人就會臉紅怕生。個性完全不同的兩人也意外跟著拳擊教練片目（中山裕介 飾）來到了練習館。新次為了復仇、推子為了改變內向的自己而開始強勁的訓練，新次也漸漸練出了一番成果，推子對於他也抱持著一種特別的情緒…… ,20200918,片　　長：02時38分,,啊，荒野 前篇,4.4,啊，荒野 前篇
97,★ 香港金像獎10項提名，影帝郭富城近年最滿意演出作品 ★ 香港社會最關注「麥當勞」遊民議題 ，聚焦邊緣階層的人生，真實揭露社會底層悲歌 ★ 家人成了陌路人，陌生人反而更像家人，劇情溫情感人，讓人淚流不止，國際影展邀約不斷，口碑滿載，好評無數  假如，我們相信，希望能燃點生命；信念能改寫人生，或許，是我們不知道，希望和信念，往往會瓦解於貧窮…… 阿博（郭富城 飾）曾是一位金融才俊，但一場股災挪用公款，淪為階下囚…… 出獄後的阿博無法面對自我，更無法面對他期待極高的年老母親（鮑起靜 飾），也對為他肩負巨大債務的妹妹感到十分愧疚，因此不想回家，從此成了無家者，活在眾多比他更沒有明天的人當中，似乎讓他找回了一些安全感。十年前，在他意氣風發之時，曾與阿珍（楊千嬅 飾）有過一面之緣，但她卻與落迫時的阿博漸漸走近，希望他重新能振作…… 阿博在快餐店內遇到不少同路人，相互改寫了各自的人生：帶著稚女的苦命媽媽，一直瘋狂打工為欠賭帳的奶奶還債，不敢回家的等伯（萬梓良 飾）、靠街頭賣畫維生的口水祥（張達明 飾）、剛離家出走的孤僻少年深仔等。眾人都以阿博為首，互相扶持，希望能盡力幫助彼此走過人生低谷。  【關於電影】  現今社會，樓價高漲、貧富懸殊、社會傾斜、人際關係疏離，各地食物鏈下的最低層，每天均過著貧苦生活！有人因為付不起昂貴租金、家庭或個人問題、亦或是節省交通費用等等各種原由，每當踏入凌晨，便會不約而同流連在各種地方如公園、天橋甚至24小時營業的速食店借宿一宵，夜宿速食店的這群人被稱為「麥難民」，成為香港夜晚獨特的景像。  電影《麥路人》靈感取材於日趨普遍的香港社會悲情實況，描繪貧窮線下的小人物，每個人都有不同的原因，聚結在24小時速食店，相助守望的感人故事。香港無家者的社會現象由2013年逐漸受關注，根據香港社區組織協會於2019年發佈的調查發現，截至2018年底，全港露宿者的登記人數由2013年的780人上升至1270人，當中接近4成是「麥難民」，增幅高達6倍。 ,20200917,片　　長：01時54分,,麥路人,4.3,麥路人
